column_name,data_type,role,use_in_model_v1,available_at_prediction,unit,constraint_source,allowed_values_or_range,observed_values_or_range,project_validation_rule,missing_policy,missing_count,unique_count,exclusion_reason,description
Age,integer,candidate_feature_sensitive,TRUE,assumed_yes_requires_operational_validation,years,ERIS project validation rule; observed IBM benchmark values,,"[18, 60]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,43,,Employee age in years.
Attrition,categorical,target,FALSE,no (outcome),category/ordinal code,ERIS project validation rule; observed IBM benchmark values,No | Yes,No: 1233 | Yes: 237,Exact value in project vocabulary: No | Yes,Fail validation; no imputation in feature/split step,0,2,Prediction target; stored separately as y.,Whether the employee left the company; mapped No=0 and Yes=1.
BusinessTravel,categorical,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Non-Travel | Travel_Frequently | Travel_Rarely,Non-Travel: 150 | Travel_Frequently: 277 | Travel_Rarely: 1043,Exact value in project vocabulary: Non-Travel | Travel_Frequently | Travel_Rarely,Fail validation; no imputation in feature/split step,0,3,,Business travel frequency category.
DailyRate,integer,exclude_v1_unclear_definition,FALSE,assumed_yes_requires_operational_validation,unspecified synthetic rate unit,ERIS project validation rule; observed IBM benchmark values,,"[102, 1499]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,886,"Excluded from Model v1 because business definition, unit, and calculation are unspecified.",Synthetic daily-rate variable; unit and calculation unspecified.
Department,categorical,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Human Resources | Research & Development | Sales,Human Resources: 63 | Research & Development: 961 | Sales: 446,Exact value in project vocabulary: Human Resources | Research & Development | Sales,Fail validation; no imputation in feature/split step,0,3,,Organizational department.
DistanceFromHome,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,unspecified distance unit,ERIS project validation rule; observed IBM benchmark values,,"[1, 29]",Non-null; observed range monitored; no externally documented allowed range,Fail validation; no imputation in feature/split step,0,29,,Distance from home to work; distance unit unspecified.
Education,integer,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,,"[1, 5]","ERIS project rule: integer in [1, 5]",Fail validation; no imputation in feature/split step,0,5,,Coded education level from 1 to 5.
EducationField,categorical,candidate_feature,TRUE,assumed_yes_requires_operational_validation,category/ordinal code,ERIS project validation rule; observed IBM benchmark values,Human Resources | Life Sciences | Marketing | Medical | Other | Technical Degree,Human Resources: 27 | Life Sciences: 606 | Marketing: 159 | Medical: 464 | Other: 82 | Technical Degree: 132,Exact value in project vocabulary: Human Resources | Life Sciences | Marketing | Medical | Other | Technical Degree,Fail validation; no imputation in feature/split step,0,6,,Field of education.
EmployeeCount,integer,exclude_constant,FALSE,assumed_yes_requires_operational_validation,count,ERIS project validation rule; observed IBM benchmark values,,"[1, 1]",ERIS project rule: constant value 1,Fail validation; no imputation in feature/split step,0,1,Constant column with no variance.,Constant benchmark field with observed value 1.
EmployeeNumber,integer,identifier,FALSE,assumed_yes_requires_operational_validation,identifier,ERIS project validation rule; observed IBM benchmark values,,"[1, 2068]",Non-null; integer; unique; excluded from model input,Fail validation; no imputation in feature/split step,0,1470,Identifier; unique key with no predictive meaning.,Unique employee identifier; never used as model input.
